Bellur,12.991111,76.744444
Belluru,12.991111,76.744444
Belukkurichchi,11.383333,78.25
Belukurichi,11.383333,78.25
Belur,11.7,78.416667
Bengalooru,12.983333,77.583333
Bengaluru,12.983333,77.583333
Bennari,11.566667,77.15
Berikai,12.8,77.966667
Beripeta,13.666667,80.2
Besant Nagar,12.995278,80.267222
Bethamangala,13.016667,78.333333
Betmangala,13.016667,78.333333
Bettadapur,12.473333,76.1025
Bettadpur,12.473333,76.1025
Bhairsandra,12.933333,77.6
Bhakarapet,13.666667,79.166667
Bhakarapeta,13.666667,79.166667
Bhavanagiri,11.466667,79.633333
Bhavani,11.45,77.683333
Bherya,12.586667,76.351389
Bhimanahalli,12.201944,76.287222
Bhimunitope,13.211944,79.920833
Bhunanahalli,12.201944,76.287222
Bhutapandi,8.266667,77.45
Bhuvanagiri,11.466667,79.633333
Bidadi,12.816667,77.4
Bikkatti,11.266667,76.616667
Bilikere,12.348056,76.428611
Bilikore,12.348056,76.428611
Binakanahalli,11.683333,77.133333
Bindigaravale,12.887778,76.553611
Bliuvanagiri,11.466667,79.633333
Bodinayakanur,10.016667,77.35
Bodinayakkanur,10.016667,77.35
Bowringpet,12.966667,78.2
British Cochin,9.966667,76.233333
Budalur,10.8,78.983333
Budihal,13.623333,76.417222
Budikote,12.9,78.133333
Bukkapatna,13.648333,76.753889
Buradagunte,13.583333,78.033333
Burrakayalakota,13.733333,78.35
Cannanpalaiyam,13.095556,79.966111
Cape Comorin,8.076111,77.548333
Chaeur,12.348056,80.004722
Chakavel,13.816667,78.1
Chalai,8.483333,76.916667
Chalakudi,10.3,76.35
Chalakuru,13.94,77.551389
Chamrajnagar,11.916667,76.95
Chamundi,12.266667,76.683333
Chamundi Extension,12.266667,76.683333
Chamundi Puram,12.266667,76.683333
Chamundy Puram,12.266667,76.683333
Chandragiri,13.583333,79.316667
Changanacheri,9.466667,76.55
Changanacherry,9.466667,76.55
Channapatan,12.65,77.216667
Channapatna,12.65,77.216667
Channarayapatna,12.904444,76.391667
Chanzarayapatna,12.904444,76.391667
Chattanahalli,12.2,76.566667
Chattrappatti,10.483333,77.666667
Chaudepalle,13.433333,78.683333
Chaughat,10.533333,76.05
Chavakkad,10.533333,76.05
Chavara,8.966667,76.533333
Chegat,11.833333,76.066667
Chelakara,10.7,76.35
Chelavaram,13.238056,80.160556
Chelur,13.443333,76.905
Chelur,13.7,78.1
Chengalpat,12.7,79.983333
Chengalpattu,12.7,79.983333
Chengam,12.3,78.8
Chengannur,9.333333,76.633333
Chennai,13.083333,80.283333
Chennapatnam,13.083333,80.283333
Chennapuri,13.083333,80.283333
Chennimalai,11.166667,77.616667
Chennur,14.15,79.816667
Chennuru,14.15,79.816667
Chepauk,13.059444,80.278889
Cherambadi,11.533333,76.283333
Cheranmahadevi,8.683333,77.566667
Cherian Nagar North,13.14,80.3
Cherian Nagar South,13.137778,80.299167
Cherlopalle,13.833333,78.633333
Cherlopalli,13.833333,78.633333
Cheruppulasseri,10.866667,76.333333
Cheruthuruthi,10.733333,76.283333
Cheruvalli,9.533333,76.766667
Chetpat,13.07,80.240833
Chetpet,13.07,80.240833
Chetput,12.466667,79.35
Chettikulam,8.15,77.6
Chettipalaiyam,10.9,77.066667
Chettipalayam,10.9,77.066667
Chettippattu,13.016667,80.016667
Chetwagi,10.533333,76.05
Chetwayi,10.533333,76.05
Cheyur,12.348056,80.004722
Cheyyar,12.666667,79.55
Cheyyur,12.348056,80.004722
Chidambaram,11.4,79.7
Chik Ballapur,13.434167,77.724167
Chik Banavar,13.091944,77.492222
Chikjajur,14.133333,76.15
Chiknayakanhalli,13.417222,76.622778
Chilamannuru,13.916667,79.7
Chilamatturu,13.843333,77.706389
Chillakur,14.133333,79.866667
Chimidithe,14.133333,79.75
Chingleput,12.7,79.983333
Chinkurali,12.537778,76.600556
Chinkurli,12.537778,76.600556
Chinmaya Nagar,13.051667,80.194444
Chinna Dharapuram,10.85,77.866667
Chinna Salem,11.65,78.9
Chinnakudal,13.074444,80.221667
Chinnamandem,13.933333,78.666667
Chinnamanur,9.833333,77.383333
Chinnammanur,9.833333,77.383333
Chinnasekkadu,13.165278,80.26
Chintadripet,13.074444,80.271389
Chintamani,13.4,78.066667
Chitdambaram,11.4,79.7
Chittambalam,10.966667,77.283333
Chittamur,12.416667,79.9
Chittanahalli,13.149722,76.878611
Chittoor,13.2,79.116667
Chittor,13.2,79.116667
Chittur,10.7,76.75
Chittur-Cochin,10.7,76.75
Chitturu,13.2,79.116667
Chitvel,14.166667,79.333333
Chitwye,10.533333,76.05
Cholapuram,9.366667,77.583333
Cholavandan,10.016667,77.966667
Cholavaram,13.238056,80.160556
Choolai,13.089722,80.268889
Choolai Medu,13.057778,80.226667
Chowghat,10.533333,76.05
Chromepet,12.95,80.133333
Chrompet,12.95,80.133333
Chunampet,12.266667,79.916667
Chunampettai,12.266667,79.916667
Chunchanakatte,12.5,76.3
Chunchankatte,12.5,76.3
Cikal,11.233333,79.733333
City of Lord Anantha,8.506944,76.956944
Closepet,12.716667,77.3
Cochin,9.966667,76.233333
Coilnapatam,8.566667,78.116667
Coilum,8.880556,76.591667
Coimbatore,10.9925,76.961389
Collegal,12.15,77.116667
Comorin,8.076111,77.548333
Conjeeveram,12.833333,79.716667
Conjevaram,12.833333,79.716667
Conjeveram,12.833333,79.716667
Coonoor,11.35,76.816667
Coromandal,13.45,80.316667
Coromandel,13.45,80.316667
Courtalam,8.916667,77.283333
Courtallam,8.916667,77.283333
Covelong,12.787778,80.249444
Cranganore,10.222222,76.199167
Cranganur,10.222222,76.199167
Cuddalore,11.75,79.75
Cundacudvu,9.85,76.266667
Cuvaimalai,10.95,79.333333
Dalasanur,13.283333,78.166667
Dalavaypattanam,10.666667,77.483333
Dalavoipatnam,10.666667,77.483333
Damalcheruvu,13.483333,79.05
Danagalli,12.2,76.566667
Danayanicheruvu,14.066667,78.366667
Dandei Sivaram,12.766667,79.783333
Dandiganahalli,12.9775,76.279167
Danishpet,11.866667,78.15
Dasampatti,12.25,78.45
Dasiripuram,13.124167,80.03
Daulatabad,12.516667,78.233333
Denkanikota,12.533333,77.8
Desinganadu,8.880556,76.591667
Desur,12.433333,79.483333
Devadanapatti,10.15,77.65
Devadanappatti,10.15,77.65
Devakapuram,12.5,79.25
Devakottai,9.95,78.816667
Devala,11.483333,76.4
